	Spa.1	Spa.2	Spa.3	Spa.4	Rho 	Dev.	 M  	Sp  	Vp  	In  	M1  	M2  	M3  	M4  	M5  	M6  	M7  	M8  	M9  	M10  	M11 	M12 	M13 	M14 	M15 	M16 	M17 	M18 	M19 	M20 	Mdly	Date
	0.00	1.00	3.00	4.00	294.56	0.0	1.52	-59.4	-1270.656	325.250	2.90	2.58	2.36	2.18	2.00	1.84	1.71	1.61	1.46	1.39	1.32	1.20	1.17	1.10	1.08	1.05	0.98	0.90	0.87	0.81	240	8/16/2011 9:12:33 AM
	0.00	1.00	4.00	5.00	267.33	0.0	1.09	-55.4	-461.287	325.250	1.97	1.86	1.60	1.37	1.35	1.29	1.12	1.03	1.09	1.07	0.99	0.98	0.89	0.86	0.79	0.66	0.69	0.76	0.70	0.77	240	8/16/2011 9:12:33 AM
	0.00	1.00	5.00	6.00	273.33	0.0	0.40	-3.0	-235.816	325.250	1.06	0.89	0.71	0.59	0.70	0.60	0.40	0.37	0.24	0.26	0.43	0.26	0.27	0.13	0.36	0.21	0.17	0.19	0.09	0.05	240	8/16/2011 9:12:33 AM
	0.00	1.00	6.00	7.00	251.68	0.0	1.14	-1.7	-124.081	325.250	1.47	1.65	1.52	1.44	1.28	1.28	1.24	1.19	1.23	1.23	1.07	1.18	0.92	1.05	0.83	0.74	0.83	0.91	0.80	0.95	240	8/16/2011 9:12:33 AM
	0.00	1.00	7.00	8.00	258.40	0.1	-0.66	5.6	-79.620	325.250	-0.23	-0.54	-0.62	-0.68	-0.86	-0.72	-0.70	-0.79	-0.89	-0.82	-0.65	-0.72	-0.74	-0.67	-0.56	-0.59	-0.54	-0.61	-0.63	-0.72	240	8/16/2011 9:12:33 AM
	0.00	1.00	8.00	9.00	300.56	0.1	2.36	-23.3	-61.740	325.250	5.51	4.50	4.07	3.46	3.24	2.94	2.61	2.30	2.10	1.78	1.77	1.48	1.70	1.33	1.97	1.62	1.36	1.21	1.12	1.14	240	8/16/2011 9:12:33 AM
	0.00	1.00	9.00	10.00	270.71	0.0	-2.25	7.1	-38.926	325.250	-5.09	-4.15	-3.60	-3.25	-3.63	-2.56	-2.36	-2.20	-1.94	-2.02	-2.26	-1.84	-1.71	-1.45	-1.37	-1.27	-1.10	-1.51	-0.92	-0.71	240	8/16/2011 9:12:33 AM
	0.00	1.00	10.00	11.00	249.60	0.0	0.26	15.7	-26.102	325.250	0.79	0.57	0.63	0.63	0.13	0.48	0.39	0.26	0.76	-0.24	-0.53	0.15	0.12	0.47	0.02	0.24	0.21	0.00	-0.16	0.20	240	8/16/2011 9:12:33 AM
	0.00	1.00	11.00	12.00	241.75	0.2	6.20	-22.9	-18.961	325.250	13.47	11.16	10.11	9.48	7.33	7.98	7.21	6.13	6.76	5.34	4.16	4.73	4.02	4.33	3.83	3.79	4.01	3.51	2.81	3.91	240	8/16/2011 9:12:33 AM
	0.00	1.00	12.00	13.00	228.95	0.2	0.43	-3.5	-13.813	325.250	1.34	0.08	1.24	2.01	0.44	1.26	0.78	0.48	1.48	0.88	-2.11	0.36	-0.76	0.00	-0.79	0.43	0.62	0.00	-0.01	0.78	240	8/16/2011 9:12:33 AM
	0.00	1.00	13.00	14.00	245.68	5.0	-9.35	-10.6	-12.110	338.213	-13.33	-13.29	-11.20	-15.69	-8.86	-8.46	-14.97	-11.74	-15.30	-12.99	-5.04	-5.58	-8.15	-7.41	-7.01	-9.73	-3.95	-4.62	-6.80	-2.83	240	8/16/2011 9:12:58 AM
	0.00	1.00	14.00	15.00	232.18	7.7	-2.11	-3.8	-9.156	338.213	-9.75	-6.21	-6.86	0.57	-5.80	-5.79	4.22	1.47	5.36	3.18	-4.80	-5.02	-2.06	-1.45	-1.54	2.23	-3.54	-2.44	0.00	-3.89	240	8/16/2011 9:12:58 AM
	0.00	1.00	15.00	16.00	257.82	1.3	5.29	17.1	-8.261	338.213	7.77	5.06	9.47	4.55	7.70	5.85	6.31	8.25	-1.44	-1.08	8.07	7.36	-0.15	4.86	4.69	-1.87	10.75	4.78	6.16	8.81	240	8/16/2011 9:12:58 AM
	0.00	1.00	16.00	17.00	247.85	0.7	-1.55	-3.5	-6.540	338.213	-6.03	-2.47	-5.66	6.79	-5.90	-7.10	2.02	-2.04	6.36	5.60	-5.05	-5.42	-0.65	-0.83	-1.40	4.89	-5.48	-3.77	0.56	-5.34	240	8/16/2011 9:12:58 AM
	0.00	1.00	17.00	18.00	214.03	0.5	2.52	-11.8	-4.706	338.213	6.10	3.13	7.24	2.13	8.80	7.84	-1.73	2.11	-2.14	-0.97	8.15	5.22	1.73	1.38	-0.69	-6.71	5.27	-0.24	-2.65	6.51	240	8/16/2011 9:12:58 AM
	0.00	1.00	18.00	19.00	194.91	2.0	2.92	2.5	-3.609	338.213	7.38	4.99	8.66	-4.54	12.67	13.29	-6.49	6.91	-5.45	-3.28	12.45	11.37	0.53	1.60	-1.08	-18.85	11.80	-2.19	-4.10	12.70	240	8/16/2011 9:12:58 AM
	0.00	1.00	19.00	20.00	210.46	0.9	-0.15	-6.1	-3.312	338.213	-1.94	2.05	4.18	-0.29	1.14	5.60	-6.94	-2.46	6.05	-0.27	4.18	-0.36	-0.40	-1.42	-4.37	-2.33	0.96	-4.18	-5.72	3.51	240	8/16/2011 9:12:58 AM
	0.00	1.00	20.00	21.00	218.84	1.4	-1.65	33.6	-2.952	338.213	-2.83	-1.43	4.45	-3.36	-0.87	3.56	-9.47	-4.80	7.21	-0.98	3.51	-0.55	-1.49	-5.37	-2.54	-8.02	-3.20	-1.45	-6.82	1.39	240	8/16/2011 9:12:58 AM
