	Spa.1	Spa.2	Spa.3	Spa.4	Rho 	Dev.	 M  	Sp  	Vp  	In  	M1  	M2  	M3  	M4  	M5  	M6  	M7  	M8  	M9  	M10  	M11 	M12 	M13 	M14 	M15 	M16 	M17 	M18 	M19 	M20 	Mdly	Date
	0.00	1.00	3.00	4.00	131.56	0.0	0.80	64.4	-429.046	245.897	1.72	1.47	1.21	1.20	1.00	0.91	0.88	0.80	0.71	0.72	0.67	0.61	0.58	0.59	0.57	0.54	0.54	0.45	0.46	0.42	240	8/16/2011 3:10:51 PM
	0.00	1.00	4.00	5.00	158.75	0.1	-0.23	-54.6	-207.093	245.897	-0.22	-0.25	-0.20	-0.28	-0.24	-0.31	-0.28	-0.26	-0.29	-0.24	-0.22	-0.25	-0.22	-0.20	-0.20	-0.22	-0.23	-0.20	-0.19	-0.18	240	8/16/2011 3:10:51 PM
	0.00	1.00	5.00	6.00	135.27	0.0	5.22	-22.5	-88.229	245.897	9.39	8.47	7.63	7.07	6.37	6.03	5.72	5.37	5.11	4.80	4.63	4.32	4.13	4.07	3.83	3.74	3.73	3.52	3.28	3.28	240	8/16/2011 3:10:51 PM
	0.00	1.00	6.00	7.00	140.05	0.1	-3.42	319.2	-52.201	245.897	-3.40	-4.05	-3.71	-4.31	-3.84	-4.31	-4.60	-3.41	-3.43	-2.87	-3.25	-3.41	-3.16	-2.44	-3.53	-3.37	-3.05	-2.84	-2.84	-2.65	240	8/16/2011 3:10:51 PM
	0.00	1.00	7.00	8.00	124.31	0.0	0.47	-305.5	-28.958	245.897	1.31	2.17	1.07	0.81	0.45	-0.24	0.90	0.69	-0.60	0.57	2.00	-0.06	0.53	0.00	0.30	-0.13	-0.41	0.52	-0.30	-0.17	240	8/16/2011 3:10:51 PM
	0.00	1.00	8.00	9.00	124.17	0.2	7.89	-4.3	-19.283	245.897	18.60	16.32	13.65	12.38	11.12	9.75	9.11	7.30	7.09	7.04	6.19	4.83	5.57	4.65	4.94	4.06	4.36	3.66	3.46	3.64	240	8/16/2011 3:10:51 PM
	0.00	1.00	9.00	10.00	140.25	0.1	-7.89	-13.0	-15.247	245.897	-18.23	-15.68	-13.57	-12.41	-9.85	-10.19	-7.66	-7.61	-7.38	-6.15	-6.14	-4.71	-5.69	-4.91	-5.79	-4.41	-5.53	-3.94	-4.16	-3.87	240	8/16/2011 3:10:51 PM
	0.00	1.00	10.00	11.00	124.23	0.1	0.19	3.5	-9.822	245.897	0.14	-0.72	1.83	-0.97	1.50	0.69	0.02	0.42	-1.16	1.59	-0.06	0.29	0.01	0.61	1.06	-0.10	-0.05	-1.39	-1.17	1.19	240	8/16/2011 3:10:51 PM
	0.00	1.00	11.00	12.00	144.66	0.4	0.75	5.5	-8.578	245.897	1.70	0.97	1.77	1.66	0.51	-0.88	1.66	-0.59	-0.21	0.84	0.44	0.28	0.23	0.05	1.82	1.94	0.34	-0.17	2.44	0.22	240	8/16/2011 3:10:51 PM
	0.00	1.00	12.00	13.00	141.49	0.8	0.76	-3.3	-6.454	245.897	1.72	2.80	-0.80	1.18	-0.20	1.30	1.26	0.86	-0.06	-0.86	-0.39	1.97	0.54	-0.23	3.37	-0.54	2.01	1.29	-1.27	1.26	240	8/16/2011 3:10:52 PM
	0.00	1.00	13.00	14.00	125.49	1.8	3.07	2.9	-4.597	251.361	5.32	3.63	4.39	3.54	3.72	2.68	2.87	2.74	2.94	2.38	3.16	4.69	2.83	2.55	3.74	1.88	1.36	2.16	3.09	1.66	240	8/16/2011 3:11:13 PM
	0.00	1.00	14.00	15.00	140.08	1.5	-0.84	-2.4	-4.105	251.361	4.11	-0.95	-2.73	-0.71	-1.43	-0.93	-0.01	-0.13	-4.39	-3.17	-0.37	-1.08	-1.68	-2.67	-1.17	-1.58	-0.68	1.42	0.43	0.86	240	8/16/2011 3:11:13 PM
	0.00	1.00	15.00	16.00	143.58	1.0	0.24	-8.4	-3.419	251.361	1.04	3.95	1.28	-1.81	-0.73	1.37	-1.16	2.06	-3.49	-1.74	0.58	0.32	3.52	1.48	-2.24	-0.32	0.58	-1.40	-1.72	3.31	240	8/16/2011 3:11:13 PM
	0.00	1.00	16.00	17.00	135.25	2.0	-1.09	30.0	-2.652	251.361	-5.06	-4.58	-2.40	-2.30	-2.29	-2.40	1.05	1.23	-1.12	-1.06	-2.82	-3.19	2.13	1.35	-0.34	0.67	-0.08	1.72	1.46	-3.72	240	8/16/2011 3:11:13 PM
	0.00	1.00	17.00	18.00	150.82	2.6	1.95	-40.1	-2.465	251.361	6.07	5.28	3.51	4.60	8.18	3.05	0.24	1.57	0.03	4.34	3.19	-1.17	4.15	1.58	1.57	-2.10	0.23	-1.91	0.76	-4.20	240	8/16/2011 3:11:13 PM
	0.00	1.00	18.00	19.00	133.58	2.3	0.26	20.8	-1.838	251.361	0.48	4.65	7.35	-3.19	1.73	0.53	-5.47	-4.06	3.89	3.62	1.24	1.67	-1.73	-0.49	4.38	0.27	2.27	-4.00	-2.98	-4.87	240	8/16/2011 3:11:13 PM
	0.00	1.00	19.00	20.00	139.72	0.7	-0.86	3.9	-1.634	251.361	11.49	6.27	0.48	4.67	3.71	-6.09	-3.42	-4.21	-4.80	1.83	0.79	-6.75	-3.82	0.42	5.47	-5.17	-12.10	1.89	-1.10	-6.68	240	8/16/2011 3:11:13 PM
	0.00	1.00	20.00	21.00	136.69	2.4	0.99	-23.0	-1.370	251.361	-2.63	4.45	-1.59	7.03	4.79	4.36	-5.96	-3.92	-2.39	-0.36	6.31	16.16	-0.65	0.14	-3.92	-3.76	-3.77	2.09	4.13	-0.79	240	8/16/2011 3:11:13 PM
	0.00	1.00	21.00	22.00	138.05	1.4	-0.01	-2.9	-1.195	251.361	-4.35	-0.02	-0.27	2.26	-2.01	-10.29	2.41	3.58	-5.22	7.46	8.65	-8.48	-5.07	3.57	5.06	3.24	7.56	-2.10	-7.82	1.66	240	8/16/2011 3:11:13 PM
	0.00	1.00	22.00	23.00	133.00	1.7	5.64	-1.0	-1.001	251.361	12.20	7.34	1.79	18.85	8.53	14.78	-11.71	12.70	-3.27	6.45	4.27	-7.64	6.45	8.43	-3.77	12.40	18.45	8.63	7.74	-9.82	240	8/16/2011 3:11:13 PM
	0.00	1.00	23.00	24.00	154.99	6.9	-8.22	2.4	-1.038	255.511	-25.73	-21.20	-26.88	-11.60	-4.31	-11.63	-11.47	-8.39	-3.47	-7.47	-10.08	-5.26	-0.13	-3.30	-4.35	3.98	3.58	-8.83	-4.29	-3.47	240	8/16/2011 3:11:50 PM
	0.00	1.00	24.00	25.00	147.84	8.3	-0.47	40.8	-0.871	255.511	8.12	9.91	4.65	8.21	-5.98	-7.46	-1.82	5.39	-1.77	6.06	-1.28	-0.26	-1.74	-8.96	-5.32	-5.22	-10.59	-8.10	-1.88	8.58	240	8/16/2011 3:11:50 PM
	0.00	1.00	25.00	26.00	136.04	1.1	-0.25	13.6	-0.709	255.511	7.71	0.50	3.58	-0.40	-4.41	-4.45	-2.61	-8.40	0.88	-1.19	-1.27	12.47	-0.15	-8.02	-14.54	0.90	1.17	3.12	14.53	-4.40	240	8/16/2011 3:11:50 PM
	0.00	1.00	26.00	27.00	138.28	3.3	-1.93	-38.6	-0.641	255.511	16.27	10.44	1.66	0.22	-1.31	-15.53	-14.59	-8.31	0.24	-5.85	-11.68	1.77	-6.51	-1.65	4.66	8.33	-3.45	-9.88	-8.53	5.08	240	8/16/2011 3:11:50 PM
	0.00	1.00	27.00	28.00	134.12	3.5	2.29	14.3	-0.555	255.511	-8.58	7.07	10.11	-0.87	-7.53	-4.69	-12.90	12.21	10.48	-2.12	-1.11	9.80	-1.31	-7.19	20.62	19.91	0.27	3.89	-0.12	-2.07	240	8/16/2011 3:11:50 PM
	0.00	1.00	28.00	29.00	112.32	10.8	0.69	-53.0	-0.417	255.511	2.57	3.61	-16.55	4.87	1.29	-11.86	-4.45	-5.12	3.72	-18.33	-7.26	37.60	-4.92	-17.45	9.78	20.12	2.22	11.96	-4.56	6.64	240	8/16/2011 3:11:50 PM
	0.00	1.00	29.00	30.00	132.37	7.1	5.13	32.1	-0.442	255.511	30.14	-1.20	5.75	-1.64	5.93	-6.50	0.29	-8.11	14.97	4.64	0.57	5.91	11.12	-30.21	21.47	16.50	16.16	3.85	6.15	6.82	240	8/16/2011 3:11:50 PM
	0.00	1.00	30.00	31.00	151.85	3.3	0.77	-13.7	-0.458	255.511	0.43	1.09	-9.55	-5.21	-4.77	-5.75	-11.61	2.28	-0.65	14.11	3.80	2.06	3.58	-2.06	20.07	-14.32	-1.19	20.94	-1.19	3.36	240	8/16/2011 3:11:50 PM
	0.00	1.00	31.00	32.00	155.87	7.1	-3.71	12.6	-0.426	255.511	-14.52	5.77	-23.81	-25.93	-4.36	27.11	-7.59	5.17	-12.95	-2.37	-0.65	-3.96	-1.40	-4.91	-15.16	12.51	8.30	-10.43	-5.74	0.67	240	8/16/2011 3:11:50 PM
	0.00	1.00	32.00	33.00	131.16	6.2	-2.16	34.5	-0.326	255.511	35.20	12.96	23.74	-5.23	18.18	-9.48	-19.01	-8.88	-12.15	12.70	-13.62	-10.48	6.34	-16.17	-16.98	2.83	23.50	-4.51	-24.99	-37.15	240	8/16/2011 3:11:50 PM
	0.00	1.00	33.00	34.00	142.29	37.9	-12.15	-8.1	-0.329	260.851	-45.74	-12.73	-14.77	-14.74	-41.35	-8.92	-13.23	-24.30	-6.71	-17.40	-28.44	0.82	-2.81	10.05	-2.54	13.25	-13.08	-16.78	-1.63	-1.86	240	8/16/2011 3:12:27 PM
	0.00	1.00	34.00	35.00	119.56	47.1	7.23	8.1	-0.253	260.851	31.59	22.56	14.39	22.15	13.98	21.73	35.75	7.74	-20.58	-23.48	3.59	14.22	-14.81	-28.97	22.96	3.87	-8.78	11.53	11.12	3.97	240	8/16/2011 3:12:27 PM
	0.00	1.00	35.00	36.00	132.92	14.3	-2.33	-28.7	-0.258	260.851	28.38	-11.83	-9.26	13.48	-11.52	12.51	-6.69	3.40	24.75	4.80	-24.85	-27.73	-37.90	-3.55	-23.12	15.59	13.17	12.25	-8.03	-10.37	240	8/16/2011 3:12:27 PM
	0.00	1.00	36.00	37.00	124.99	4.2	0.27	11.2	-0.223	260.851	12.60	-20.66	16.19	-10.82	-4.25	11.18	-2.95	-0.96	-12.75	9.87	34.75	17.90	21.79	2.67	6.94	-12.28	-25.92	-41.29	11.50	-8.10	240	8/16/2011 3:12:27 PM
	0.00	1.00	37.00	38.00	127.96	9.5	4.17	5.3	-0.210	260.851	-7.10	40.25	22.25	-37.64	-20.12	-12.78	9.47	7.34	31.49	26.75	-22.96	-41.43	4.02	30.30	30.07	-6.16	6.39	-4.50	30.07	-2.37	240	8/16/2011 3:12:27 PM
	0.00	1.00	38.00	39.00	140.73	3.8	2.96	13.5	-0.213	260.851	17.94	10.42	-1.69	-24.94	7.95	-19.51	-36.70	-39.79	-12.64	50.16	3.64	-12.84	7.19	8.55	51.49	17.86	13.75	-4.64	25.52	-2.53	240	8/16/2011 3:12:27 PM
